dataset_id,name,meta_url,createdDate,updatedDate,relevanceDate,header_url,data_url,view_count,download_count
6500005657_tablica_dohodov_budgeta,форма_0503317M_таблица_Доходы бюджета,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=5,05.12.2016,31.08.2017,26.09.2016,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_dohodov_budgeta/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_dohodov_budgeta/structure-2017-08-31T00-00.csv,446,2550
6500005657_tablica_rashodov,форма_0503317M_таблица_Расходы,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=6,05.12.2016,31.08.2017,26.09.2017,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_rashodov/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_rashodov/structure-2017-08-31T00-00.csv,340,1912
6500005657_tablica_istochniki_finasirovaniya,форма_0503317M_таблица_Источники финансирования,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=7,05.12.2016,31.08.2017,26.09.2017,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_istochniki_finasirovaniya/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_istochniki_finasirovaniya/structure-2017-08-31T00-00.csv,487,1917
6500005657_tablica_konsolidiruemih_raschetov,форма_0503317M_таблица_Таблица консолидируемых расчетов,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=8,05.12.2016,31.08.2017,26.09.2017,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_konsolidiruemih_raschetov/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_tablica_konsolidiruemih_raschetov/structure-2017-08-31T00-00.csv,335,2148
6500005657_realizacia_ukazov_prezidenta_RF,Реализация Указов Президента РФ (по мероприятиям и источникам),https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=20,30.12.2016,30.12.2016,30.12.2016,https://openbudget.sakhminfin.ru/opendata3/6500005657_realizacia_ukazov_prezidenta_RF/data-2016-12-30T00-00-structure-.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_realizacia_ukazov_prezidenta_RF/structure-2016-12-30T00-00.csv,494,1178
6500005657_prognoz_postupleniya_dohodov_na_period_2018_2020,Прогноз поступления доходов на период 2018-2020 годы,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=21,31.10.2017,31.10.2017,31.10.2017,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_prognoz_postupleniya_dohodov_na_period_2018_2020/data-2017-10-31T00-00-structure-2017-10-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_prognoz_postupleniya_dohodov_na_period_2018_2020/structure-2017-10-31T00-00.csv,713,1806
6500005657_functional_structure_expenditures_na_period_2018_2020,Функциональная структура расходов областного бюджета на период 2018-2020 годы,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=22,08.11.2017,08.11.2017,08.11.2017,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_functional_structure_expenditures_na_period_2018_2020/data-2017-11-09T00-00-structure-.csv,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_functional_structure_expenditures_na_period_2018_2020/structure-2017-11-09T00-00.csv,583,1759
6500005657_budget_assign_2018_gov_support,"Общий объем и распределение бюджетных ассигнований, направляемых на государственную поддержку семьи и детей, на 2018 год",https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=28,15.11.2017,15.11.2017,15.11.2017,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_budget_assign_2018_gov_support/data-2017-11-15T00-00-structure-2017-11-15T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_budget_assign_2018_gov_support/structure-2017-11-15T00-00.csv,717,1574
6500005657_prognoz_postupleniya_dohodov_na_period_2019_2021,Прогноз поступлений доходов на 2019-2021 годы,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=30,24.12.2018,24.12.2018,24.12.2018,https://openbudget.sakhminfin.ru/opendata3/6500005657_prognoz_postupleniya_dohodov_na_period_2019_2021/data-2018-12-24T00-00-structure-2018-12-24T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_prognoz_postupleniya_dohodov_na_period_2019_2021/structure-2018-12-24T00-00.csv,227,1009
6500005657_budget_assign_2020_2021_gov_support,"Общий объем и распределение бюджетных ассигнований, направляемых на государственную поддержку семьи и детей, на плановый период 2020 и 2021 годов",https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=34,24.12.2018,24.12.2018,24.12.2018,https://openbudget.sakhminfin.ru/opendata3/6500005657_budget_assign_2020_2021_gov_support/data-2018-12-24T00-00-structure-2018-12-24T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_budget_assign_2020_2021_gov_support/structure-2018-12-24T00-00.csv,240,999
6500005657_functional_structure_expenditures_na_2019,Функциональная структура расходов областного бюджета на 2019 год,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=36,24.12.2018,24.12.2018,24.12.2018,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_functional_structure_expenditures_na_2019/data-2018-12-24T00-00-structure-2018-12-24T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_functional_structure_expenditures_na_2019/structure-2018-12-24T00-00.csv,211,967
6500005657_cassa_plan_2015_2016,"Сведения об использовании средств областного и федерального бюджетов, юридических и физических лиц на реализацию мероприятий государственной программы",https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=9,05.12.2016,29.12.2016,29.12.2016,https://openbudget.sakhminfin.ru/opendata3/6500005657_cassa_plan_2015_2016/data-2017-02-07T00-00-structure-2016-12-06T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_cassa_plan_2015_2016/structure-2016-12-06T00-00.csv,349,1389
6500005657_pokazateli_plan_2015_2016,Сведения о степени реализации мероприятий государственной программы,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=10,05.12.2016,29.12.2016,29.12.2016,https://openbudget.sakhminfin.ru/opendata3/6500005657_pokazateli_plan_2015_2016/data-2017-02-27T00-00-structure-2016-12-06T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_pokazateli_plan_2015_2016/structure-2016-12-06T00-00.csv,648,1789
6500005657_structure_expenditure_budget_2020_2021,Ведомственная структура расходов областного бюджета на плановый период 2020 и 2021 годов,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=31,24.12.2018,24.12.2018,24.12.2018,https://openbudget.sakhminfin.ru/opendata3/6500005657_structure_expenditure_budget_2020_2021/data-2018-12-24T00-00-structure-2018-12-24T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_structure_expenditure_budget_2020_2021/structure-2018-12-24T00-00.csv,261,1089
6500005657_program_structure_budget_2019,Программная структура расходов областного бюджета на 2019 год,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=37,24.12.2018,24.12.2018,24.12.2018,https://openbudget.sakhminfin.ru/opendata3/6500005657_program_structure_budget_2019/data-2018-12-24T00-00-structure-2018-12-24T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_program_structure_budget_2019/structure-2018-12-24T00-00.csv,165,973
6500005657_structure_expenditure_budget_2019,Ведомственная структура расходов областного бюджета на 2019 год,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=38,24.12.2018,24.12.2018,24.12.2018,https://openbudget.sakhminfin.ru/opendata3/6500005657_structure_expenditure_budget_2019/data-2018-12-24T00-00-structure-2018-12-24T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_structure_expenditure_budget_2019/structure-2018-12-24T00-00.csv,230,1009
6500005657_prognoz_postupleniya_dohodov_na_period_2020_2022,Прогноз поступлений доходов областного бюджета на 2020 год и на плановый период 2021 и 2022 годов,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=41,19.12.2019,19.12.2019,19.12.2019,https://openbudget.sakhminfin.ru/opendata3/6500005657_prognoz_postupleniya_dohodov_na_period_2020_2022/data-2019-12-19T00-00-structure-2019-12-19T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_prognoz_postupleniya_dohodov_na_period_2020_2022/structure-2019-12-19T00-00.csv,19,50
6500005657_program_structure_budget_2020_2022,Программную структуру расходов областного бюджета на 2020 год и на плановый период 2021 и 2022 годов,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=43,19.12.2019,19.12.2019,19.12.2019,https://openbudget.sakhminfin.ru/opendata3/6500005657_program_structure_budget_2020_2022/data-2019-12-19T00-00-structure-2019-12-19T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_program_structure_budget_2020_2022/structure-2019-12-19T00-00.csv,15,46
6500005657_budget_assign_2020_2022_gov_support,"Общий объем и распределение бюджетных ассигнований, направляемых на государственную поддержку семьи и детей, на 2020 год и на плановый период 2021 и 2022 годов",https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=45,19.12.2019,19.12.2019,19.12.2019,https://openbudget.sakhminfin.ru/opendata3/6500005657_budget_assign_2020_2022_gov_support/data-2019-12-19T00-00-structure-2019-12-19T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_budget_assign_2020_2022_gov_support/structure-2019-12-19T00-00.csv,15,44
6510003433_Tablica_Dohodov,форма_0503317M_таблица_Доходы бюджета (Анивский ГО),https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=11,06.12.2016,31.08.2017,26.09.2017,https://openbudget.sakhminfin.ru/opendata3/6510003433_Tablica_Dohodov/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6510003433_Tablica_Dohodov/structure-2017-08-31T00-00.csv,397,1884
6510003433_Istochniki_finansirovaniya,форма_0503317M_таблица_Источники финансирования (Анивский ГО),https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=12,06.12.2016,31.08.2017,26.09.2017,https://openbudget.sakhminfin.ru/opendata3/6510003433_Istochniki_finansirovaniya/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6510003433_Istochniki_finansirovaniya/structure-2017-08-31T00-00.csv,396,2230
6510003433_Tablica_Rashodov,форма_0503317M_таблица_Расходы (Анивский ГО),https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=13,06.12.2016,31.08.2017,26.09.2017,https://openbudget.sakhminfin.ru/opendata3/6510003433_Tablica_Rashodov/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6510003433_Tablica_Rashodov/structure-2017-08-31T00-00.csv,272,2455
6510003433_Tablica_Konsolidiruemih_Rashodov,форма_0503317M_таблица_Таблица консолидируемых расчетов (Анивский ГО),https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=14,06.12.2016,31.08.2017,26.09.2017,https://openbudget.sakhminfin.ru/opendata3/6510003433_Tablica_Konsolidiruemih_Rashodov/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6510003433_Tablica_Konsolidiruemih_Rashodov/structure-2017-08-31T00-00.csv,269,2004
6501025832_Tablica_Dohodov,форма_0503317M_таблица_Доходы бюджета (Южно-Сахалинск),https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=15,06.12.2016,31.08.2017,26.09.2017,https://openbudget.sakhminfin.ru/opendata3/6501025832_Tablica_Dohodov/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6501025832_Tablica_Dohodov/structure-2017-08-31T00-00.csv,397,1884
6501025832_Tablica_Rashodov,форма_0503317M_таблица_Расходы (Южно-Сахалинск),https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=16,06.12.2016,31.08.2017,26.09.2017,https://openbudget.sakhminfin.ru/opendata3/6501025832_Tablica_Rashodov/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6501025832_Tablica_Rashodov/structure-2017-08-31T00-00.csv,360,2691
6501025832_Istochniki_Finansirovania,форма_0503317M_таблица_Источники финансирования (Южно-Сахалинск),https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=17,06.12.2016,31.08.2017,26.09.2017,https://openbudget.sakhminfin.ru/opendata3/6501025832_Istochniki_Finansirovania/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6501025832_Istochniki_Finansirovania/structure-2017-08-31T00-00.csv,409,1870
6501025832_Tablica_Konsolidiruemih_raschetov,форма_0503317M_таблица_Таблица консолидируемых расчетов (Южно-Сахалинск),https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=18,06.12.2016,31.08.2017,26.09.2017,https://openbudget.sakhminfin.ru/opendata3/6501025832_Tablica_Konsolidiruemih_raschetov/data-2017-08-31T00-00-structure-2017-08-31T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6501025832_Tablica_Konsolidiruemih_raschetov/structure-2017-08-31T00-00.csv,271,1701
6500005657Svodnii_otchet_razmesheniya_zakazov,Сводный отчет размещения заказов,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=19,07.12.2016,07.12.2016,07.12.2016,https://openbudget.sakhminfin.ru/opendata3/6500005657Svodnii_otchet_razmesheniya_zakazov/data-2016-12-07T00-00-structure-2016-12-07T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657Svodnii_otchet_razmesheniya_zakazov/structure-2016-12-07T00-00.csv,453,1559
6500005657_functional_structure_expenditures_na_period_2020_2022,Функциональная структура расходов областного бюджета на 2020 год и на плановый период 2021 и 2022 годов,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=42,19.12.2019,19.12.2019,19.12.2019,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_functional_structure_expenditures_na_period_2020_2022/data-2019-12-19T00-00-structure-2019-12-19T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_functional_structure_expenditures_na_period_2020_2022/structure-2019-12-19T00-00.csv,12,41
6500005657_budget_assign_2019_2020,Распределение бюджетных ассигнований на плановый период 2019 и 2020 годов,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=23,09.11.2017,09.11.2017,09.11.2017,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_budget_assign_2019_2020/data-2017-11-09T00-00-structure-2017-11-09T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_budget_assign_2019_2020/structure-2017-11-09T00-00.csv,625,1982
6500005657_program_structure_budget_2018,Программная структура расходов областного бюджета на 2018 год,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=24,14.11.2017,14.11.2017,14.11.2017,https://openbudget.sakhminfin.ru/opendata3/6500005657_program_structure_budget_2018/data-2017-11-14T00-00-structure-2017-11-14T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_program_structure_budget_2018/structure-2017-11-14T00-00.csv,725,1826
6500005657_budget_assign_target_2019_2020,Распределение бюджетных ассигнований на плановый период по целевым статьям 2019 и 2020 годов,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=25,14.11.2017,14.11.2017,14.11.2017,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_budget_assign_target_2019_2020/data-2017-11-14T00-00-structure-2017-11-14T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_budget_assign_target_2019_2020/structure-2017-11-14T00-00.csv,807,1604
6500005657_structure_expenditure_budget_2018,Ведомственная структура расходов областного бюджета на 2018 год,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=26,14.11.2017,14.11.2017,14.11.2017,https://openbudget.sakhminfin.ru/opendata3/6500005657_structure_expenditure_budget_2018/data-2017-11-14T00-00-structure-2017-11-14T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_structure_expenditure_budget_2018/structure-2017-11-14T00-00.csv,938,2436
6500005657_structure_expenditure_budget_2019_2020,Ведомственная структура расходов областного бюджета на плановый период 2019 и 2020 годов,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=27,15.11.2017,15.11.2017,15.11.2017,https://openbudget.sakhminfin.ru/opendata3/6500005657_structure_expenditure_budget_2019_2020/data-2017-11-15T00-00-structure-2017-11-15T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_structure_expenditure_budget_2019_2020/structure-2017-11-15T00-00.csv,759,1704
6500005657_budget_assign_2019_2020_gov_support,"Общий объем и распределение бюджетных ассигнований, направляемых на государственную поддержку семьи и детей, на плановый период 2019 и 2020 годов",https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=29,15.11.2017,15.11.2017,15.11.2017,https://openbudget.sakhminfin.ru/opendata3/6500005657_budget_assign_2019_2020_gov_support/data-2017-11-15T00-00-structure-2017-11-15T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_budget_assign_2019_2020_gov_support/structure-2017-11-15T00-00.csv,766,1925
6500005657_istochniki_finasirovaniya_deficita_2020_2021,Источники финансирования дефицита на  2020- 2021 годы,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=35,24.12.2018,24.12.2018,24.12.2018,https://openbudget.sakhminfin.ru/opendata3/6500005657_istochniki_finasirovaniya_deficita_2020_2021/data-2018-12-24T00-00-structure-2018-12-24T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_istochniki_finasirovaniya_deficita_2020_2021/structure-2018-12-24T00-00.csv,229,966
6500005657_program_structure_budget_2020_2021,Программная структура расходов областного бюджета на 2020 - 2021 годы,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=32,24.12.2018,24.12.2018,24.12.2018,https://openbudget.sakhminfin.ru/opendata3/6500005657_program_structure_budget_2020_2021/data-2018-12-24T00-00-structure-2018-12-24T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_program_structure_budget_2020_2021/structure-2018-12-24T00-00.csv,169,791
6500005657_functional_structure_expenditures_na_period_2020_2021,Функциональная структура расходов областного бюджета на период 2020-2021 годы,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=33,24.12.2018,24.12.2018,24.12.2018,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_functional_structure_expenditures_na_period_2020_2021/data-2018-12-24T00-00-structure-2018-12-24T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/ 6500005657_functional_structure_expenditures_na_period_2020_2021/structure-2018-12-24T00-00.csv,185,788
6500005657_budget_assign_2019_gov_support,"Общий объем и распределение бюджетных ассигнований, направляемых на государственную поддержку семьи и детей, на 2019  год",https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=39,24.12.2018,24.12.2018,24.12.2018,https://openbudget.sakhminfin.ru/opendata3/6500005657_budget_assign_2019_gov_support/data-2018-12-24T00-00-structure-2018-12-24T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_budget_assign_2019_gov_support/structure-2018-12-24T00-00.csv,236,990
6500005657_istochniki_finasirovaniya_deficita_2019,Источники финансирования дефицита на  2019 год,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=40,24.12.2018,24.12.2018,24.12.2018,https://openbudget.sakhminfin.ru/opendata3/6500005657_istochniki_finasirovaniya_deficita_2019/data-2018-12-24T00-00-structure-2018-12-24T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_istochniki_finasirovaniya_deficita_2019/structure-2018-12-24T00-00.csv,220,1030
6500005657_istochniki_finasirovaniya_deficita_2020_2022,Источники финансирования дефицита областного бюджета на 2020 год и на плановый период 2021 и 2022 годов,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=46,19.12.2019,19.12.2019,19.12.2019,https://openbudget.sakhminfin.ru/opendata3/6500005657_istochniki_finasirovaniya_deficita_2020_2022/data-2019-12-19T00-00-structure-2019-12-19T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_istochniki_finasirovaniya_deficita_2020_2022/structure-2019-12-19T00-00.csv,21,66
6500005657_structure_expenditure_budget_2020_2022,Ведомственную структуру расходов областного бюджета на 2020 год и на плановый период 2021 и 2022 годов,https://openbudget.sakhminfin.ru/OpenData3/Meta?id_dataset=44,19.12.2019,19.12.2019,19.12.2019,https://openbudget.sakhminfin.ru/opendata3/6500005657_structure_expenditure_budget_2020_2022/data-2019-12-19T00-00-structure-2019-12-19T00-00.csv,https://openbudget.sakhminfin.ru/opendata3/6500005657_structure_expenditure_budget_2020_2022/structure-2019-12-19T00-00.csv,19,72
